가격,"값

"
끼니,"끼1

"
끽연,"흡연

"
낌새,"기미2

"
나귀,"당나귀

"
나라,"국가1

"
나라꽃,"국화1

"
나라말,"국어

"
나락,"벼

"
나락,"지옥

"
나랏일,"국사2

"
나머지,"여분

"
나무,"땔나무

"
나무저,"나무젓가락

"
나무젓가락,"나무저

"
나뭇등걸,"등걸

"
나사,"나사못
"
나사못,"나사

"
나신,"나체, 맨몸, 알몸

"
나이,"연령
"
나이층,"연령층

"
나이테,"연륜

"
나이트,"나이트클럽

"
나이트클럽,"나이트

"
나인,"궁녀

"
나중,"이다음

"
나체,"나신, 맨몸, 알몸

"
낙관주의,"낙천주의

"
낙농,"낙농업

"
낙농업,"낙농

"
낙원,"파라다이스

"
낙제,"유급2

"
낙제,"불합격
"
낙조,"사양1, 석양

"
낙착,"결정1

"
낙천주의,"낙관주의
"
낚시,"낚싯바늘

"
낚시,"낚시질

"
낚시질,"낚시

"
낚싯바늘,"낚시

"
낚싯밥,"미끼

"
난,"난초

"
난로,"스토브
"
난문제,"난제

"
난민,"이재민

"
난장,"난장판

"
난장판,"난장

"
난전,"혼전2

"
난제,"난문제

"
난초,"난2

"
난파,"파선

"
난형난제,"백중, 백중지세

"
날,"날씨

"
날,"날짜, 일자2

"
날것,"생것

"
날계란,"날달걀

"
날고기,"생고기

"
날달걀,"날계란

"
날수,"일자1

"
날씨,"기상1, 날1, 일기2, 천기1

"
날짜,"날1, 일자2

"
날짜,"일자2

"
남,"남자
"
남녘,"남쪽
"
남동,"남동쪽

"
남동쪽,"남동

"
남동풍,"동남풍

"
남루,"누더기

"
남매,"오누이

"
남미,"남아메리카

"
남방,"남쪽
"
남방,"남방셔츠

"
남빛,"남색, 쪽빛

"
남색,"남빛

"
남서,"남서쪽

"
남서쪽,"남서

"
남성,"남2
"
남아,"남자아이
"
남아,"대장부, 장부

"
남아메리카,"남미

"
남자,"남2
"
남자아이,"남아
"
남진,"남하

"
남쪽,"남3, 남녘, 남방, 남측
"
남쪽,"남측
"
남측,"남쪽

"
남측,"남쪽
"
남포,"남포등, 램프

"
남포등,"남포, 램프

"
남하,"남진
"
남한,"이남
"
납득,"이해2

"
납부,"납입

"
납부금,"납입금, 불입금, 불입액

"
납입,"납부

"
납입금,"납부금

"
낭독,"낭송
"
낭설,"뜬소문, 유언비어

"
낭송,"낭독

"
낮,"한낮

"
낮잠,"오수1
"
낯,"면목

"
낯빛,"안색, 얼굴빛, 얼굴색
"
낱낱,"개개1

"
낱말,"단어

"
낱자,"자모

"
내,"개울, 개천

"
내,"냄새

"
내관,"내시, 환관

"
내년,"명년

"
내달,"새달

"
내력,"유래

"
내림세,"하락세
"
내막,"속사정

"
